id,titulo,rubro,Con pantalla táctil,Conexión del monitor de la computadora,Resolución de pantalla,Tamaño de la pantalla,Tipo de pantalla,Tipo de resolución,Con micrófono,Con visión nocturna,Formato de venta,Funciones,Lugares de montaje,Color,Tipo de corrector,Tipo de envase,Con compartimiento para notebook,Con puerto USB,Con ruedas,Tipo de mochila,Capacidad,Incluye adaptador SD,Incluye adaptador USB,Resolución máxima de video,Velocidad de lectura,Forma del glitter,Peso neto,Tipo,Usos recomendados,Graduación,Unidad por envase,Tamaño de papel,Tipo de papel,Con bluetooth,Con WiFi,Funciones de la impresora,Tipo de impresión,Tipo de impresora,Resolución de imagen de la cámara,Capacidad de hojas,Potencia,Tipo de trituradora,Voltaje,Color de la tinta,Con grip,Grosor del trazo,Tipo de lapicera,Tipo de trazo,Con goma de borrar,Tipo de Lápiz,Forma de la lentejuela,Duración máxima de la batería,Es inalámbrico,Es resistente al agua,Formato del auricular,Tipo de conectores,A prueba de agua,Autonomía máxima de la batería,Con función Karaoke,Con luces LED,Con Radio,Es portátil,Incluye batería recargable,Potencia de salida (RMS),Tipo de parlante,Díametro,Con anillos,Con tapa separadas,Diseño,Tamaño de las hojas,Tipo de carpeta,Con lengueta,Tamaño del separador,Billetes por minutos,Capacidad de bandeja,Con detector de billetes falsos,Tipo detección,Con cartel,Con pie,Tamaño,Tipo de agenda por vista,Tipo de encuadernación,Formato de la tiza,Capacidad de almacenamiento,Material,Tipo de Marcador,Con compartimiento para marcadores,Es magnético,Material del mango,Superficies Recomendadas,Con GPS,Incluye cargador,Sistema operativo,Ancho x altura,Material de la superficie,Material del armazón
186,Artículo 186 de Correctores,Correctores,,,,,,,,,Valor 83,,,,Valor 56,Valor 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Artículo 187 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Valor 98,No,Sí,Valor 10,Valor 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Artículo 188 de Impresoras,Impresoras,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Valor 50,Valor 61,No,Sí,No,Valor 57,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Artículo 189 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 24,,,,,,,,,,
190,Artículo 190 de Goma eva,Goma eva,,,,,,,,,Valor 70,,,,,,,,,,,,,,,,,Valor 12,Valor 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Artículo 191 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Artículo 192 de Pendrive,Pendrive,,,,,,,,,,,,Valor 62,,,,,,,,,,,Valor 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 21,Valor 20,,,,,,,,,,,
193,Artículo 193 de Camara de seguridad,Camara de seguridad,,,,,,Valor 87,Sí,Sí,Valor 37,Valor 36,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Artículo 194 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 54,,,,,,,,,,,,,,,,,,,,Valor 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Artículo 195 de Gibre,Gibre,,,,,,,,,Valor 43,,,,,,,,,,,,,,,Valor 30,Valor 4,Valor 70,Valor 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Artículo 196 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,
197,Artículo 197 de Monitores,Monitores,Sí,Valor 16,Valor 34,Valor 97,Valor 30,Valor 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Artículo 198 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Valor 60,Sí,No,Valor 10,Valor 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Artículo 199 de Parlantes,Parlantes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,,,,,,,,,,,,,,,,,,Sí,,,,Valor 89,Valor 63,No,Sí,No,No,Valor 55,Valor 78,Valor 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Artículo 200 de Borradores,Borradores,,,,,,,,,Valor 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Valor 20,No,,,,,,
201,Artículo 201 de Monitores,Monitores,No,Valor 40,Valor 67,Valor 89,Valor 18,Valor 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Artículo 202 de Smartwatch,Smartwatch,,,,,Valor 50,,,,,Valor 79,,,,,,,,,,,,,,,,,,,,,,Sí,No,,,,,,,,,,,,,,,,,Valor 70,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 5,Valor 24,,,
203,Artículo 203 de Papel glace,Papel glace,,,,,,,,,Valor 48,,,,,,,,,,,,,,,,,,Valor 91,,,Valor 54,Valor 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Artículo 204 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,Valor 70,Sí,Valor 64,,,,,,,,,,,,,,,,,,,
205,Artículo 205 de Parlantes,Parlantes,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,,Sí,,,,Valor 80,Valor 70,Sí,Sí,No,Sí,Valor 99,Valor 18,Valor 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Artículo 206 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Artículo 207 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Artículo 208 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 65,,,,,,,,,,,,,,,,,,,,Valor 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Artículo 209 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 46,,,,,,,,,,,,,,,,,,,Valor 97,Valor 7,,,,,,,,,,,,,,,,,,No,Valor 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Artículo 210 de Goma eva,Goma eva,,,,,,,,,Valor 81,,,,,,,,,,,,,,,,,Valor 32,Valor 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Artículo 211 de Correctores,Correctores,,,,,,,,,Valor 18,,,,Valor 31,Valor 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Artículo 212 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Artículo 213 de Minas,Minas,,,,,,,,,Valor 46,,,,,,,,,,,,,,,,,,,Valor 23,Valor 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Artículo 214 de Agendas,Agendas,,,,,,,,,Valor 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 11,Valor 62,Valor 25,,,,,,,,,,,,,,
215,Artículo 215 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Artículo 216 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 6,Valor 94,Valor 10
217,Artículo 217 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 73,,,,,,,,,,,,,,,,,,,,Valor 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Artículo 218 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 81,,,,,,,,,,,,,,,,,,,,Valor 19,,,,,,,,,,,,,Valor 56,No,Valor 64,Valor 71,Valor 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Artículo 219 de Gibre,Gibre,,,,,,,,,Valor 64,,,,,,,,,,,,,,,Valor 83,Valor 84,Valor 71,Valor 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Artículo 220 de Gibre,Gibre,,,,,,,,,Valor 13,,,,,,,,,,,,,,,Valor 99,Valor 61,Valor 15,Valor 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Artículo 221 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Artículo 222 de Parlantes,Parlantes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,,,,,,,,,,,,,,,,,,Sí,,,,Valor 35,Valor 94,No,Sí,Sí,Sí,Valor 89,Valor 55,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Artículo 223 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Artículo 224 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Artículo 225 de Mochilas,Mochilas,,,,,,,,,,,,,,,Sí,Sí,Sí,Valor 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Artículo 226 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Valor 99,Sí,Sí,Valor 27,Valor 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Artículo 227 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 71,,,,,,,,,,,,,,,,,,,Valor 10,Valor 72,,,,,,,,,,,,,,,,,,No,Valor 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Artículo 228 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Artículo 229 de Pendrive,Pendrive,,,,,,,,,,,,Valor 19,,,,,,,,,,,Valor 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 10,Valor 34,,,,,,,,,,,
230,Artículo 230 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 58,,,,,,,,,,
231,Artículo 231 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 87,Valor 23,Valor 72
232,Artículo 232 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,
233,Artículo 233 de Gibre,Gibre,,,,,,,,,Valor 32,,,,,,,,,,,,,,,Valor 76,Valor 36,Valor 99,Valor 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Artículo 234 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 11,,,,,,,,,,,,,,,,,,,,Valor 10,,,,,,,,,,,,,Valor 59,Sí,Valor 86,Valor 32,Valor 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Artículo 235 de Borradores,Borradores,,,,,,,,,Valor 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,Valor 32,Sí,,,,,,
236,Artículo 236 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 77,,,,,,,,,,,,,,,,,,,,Valor 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Artículo 237 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,Valor 82,Valor 66,Valor 52,,,,,,,,,,,,,,,,,,,,,,,,,
238,Artículo 238 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Artículo 239 de Mochilas,Mochilas,,,,,,,,,,,,,,,No,Sí,Sí,Valor 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Artículo 240 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,
241,Artículo 241 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 80,,,,,,,,,,,,,,,,,,,,Valor 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Artículo 242 de Minas,Minas,,,,,,,,,Valor 21,,,,,,,,,,,,,,,,,,,Valor 88,Valor 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Artículo 243 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Artículo 244 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 27,,,,,,,,,,,,,,,,,,,,Valor 10,,,,,,,,,,,,,Valor 55,Sí,Valor 15,Valor 8,Valor 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Artículo 245 de Tizas,Tizas,,,,,,,,,Valor 74,,,,,,,,,,,,,,,,,,Valor 39,,Valor 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 2,,,,,,,,,,,,,
246,Artículo 246 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 22,,,,,,,,,,,,,,,,,,,,Valor 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Artículo 247 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Artículo 248 de Goma eva,Goma eva,,,,,,,,,Valor 31,,,,,,,,,,,,,,,,,Valor 61,Valor 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Artículo 249 de Agendas,Agendas,,,,,,,,,Valor 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 1,Valor 26,Valor 4,,,,,,,,,,,,,,
250,Artículo 250 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 30,,,,,,,,,,,,,,,,,,,,Valor 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Artículo 251 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,No,Valor 9,Sí,Valor 52,,,,,,,,,,,,,,,,,,,
252,Artículo 252 de Brillantinas,Brillantinas,,,,,,,,,Valor 85,,,,,,,,,,,,,,,,,,Valor 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Artículo 253 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Valor 30,Valor 80,Valor 75,,,,,,,,,,,,,,,,,,,,,,,,,
254,Artículo 254 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,
255,Artículo 255 de Monitores,Monitores,No,Valor 56,Valor 53,Valor 68,Valor 38,Valor 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Artículo 256 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,No,Valor 41,Sí,Valor 66,,,,,,,,,,,,,,,,,,,
257,Artículo 257 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 5,,,,,,,,,,,,,,,,,,,,Valor 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Artículo 258 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Artículo 259 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Artículo 260 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Artículo 261 de Borradores,Borradores,,,,,,,,,Valor 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,Valor 47,Sí,,,,,,
262,Artículo 262 de Separadores,Separadores,,,,,,,,,Valor 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 65,,,,,,,,,,,,,,,,,,,,,,,
263,Artículo 263 de Smartwatch,Smartwatch,,,,,Valor 81,,,,,Valor 90,,,,,,,,,,,,,,,,,,,,,,Sí,No,,,,,,,,,,,,,,,,,Valor 85,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 18,Valor 18,,,
264,Artículo 264 de Monitores,Monitores,Sí,Valor 46,Valor 44,Valor 49,Valor 92,Valor 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Artículo 265 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 8,Valor 1,Valor 12
266,Artículo 266 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,Valor 59,No,Sí,Valor 90,Valor 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Artículo 267 de Goma eva,Goma eva,,,,,,,,,Valor 67,,,,,,,,,,,,,,,,,Valor 91,Valor 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Artículo 268 de Smartwatch,Smartwatch,,,,,Valor 59,,,,,Valor 79,,,,,,,,,,,,,,,,,,,,,,Sí,No,,,,,,,,,,,,,,,,,Valor 84,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 71,Valor 78,,,
269,Artículo 269 de Separadores,Separadores,,,,,,,,,Valor 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 83,,,,,,,,,,,,,,,,,,,,,,,
270,Artículo 270 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Artículo 271 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 89,Valor 81,Valor 58
272,Artículo 272 de Monitores,Monitores,Sí,Valor 74,Valor 60,Valor 95,Valor 93,Valor 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Artículo 273 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 40,,,,,,,,,,,,,,,,,,,Valor 98,Valor 67,,,,,,,,,,,,,,,,,,Sí,Valor 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Artículo 274 de Tarjetas de memoria,Tarjetas de memoria,,,,,,,,,,,,,,,,,,,Valor 56,Valor 83,Valor 15,Valor 12,Valor 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Artículo 275 de Maquina destructora,Maquina destructora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 77,Valor 14,Valor 27,Valor 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Artículo 276 de Brillantinas,Brillantinas,,,,,,,,,Valor 19,,,,,,,,,,,,,,,,,,Valor 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Artículo 277 de Smartwatch,Smartwatch,,,,,Valor 89,,,,,Valor 93,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,Valor 100,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 14,Valor 53,,,
278,Artículo 278 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 10,Valor 99,Valor 75
279,Artículo 279 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Artículo 280 de Goma eva,Goma eva,,,,,,,,,Valor 35,,,,,,,,,,,,,,,,,Valor 90,Valor 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Artículo 281 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 35,,,,,,,,,,
282,Artículo 282 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 97,,,,,,,,,,
